变量,原始偏差%,匹配后偏差%,偏差降低%
lnage,-73.01461634977993,4.980140120760278,93.1792559219887
klr,-31.17326958780925,-5.005249628486554,83.94377716977137
lnsize,-27.209503234956365,-1.1501931822692564,95.77282550020395
bsize,-25.076025883841034,2.5180220174911323,89.95844864271837
dual,32.226290178567766,-2.650602295405224,91.77503125330877
lnrd,61.066211446307335,9.26990978691355,84.81990356473293
indrate,15.770051592278122,-1.1605372612820082,92.64087847467619
own,11.456828839245178,-2.5168639421364043,78.03175750068877
lev,-31.804900873184483,-1.5352746899413539,95.1728361108153
