变量,系数,标准误,p值,N
Breadth,-0.0008869309324994781,0.0005446247910459085,0.10342882573393708,27683
Depth,-0.00030806908213590366,0.0004584289415725473,0.5015836853301314,27683
Breadth(联合),-0.000866028015587885,0.0005917049890607811,0.1433128694322059,27683
Depth(联合),-5.9937515182848204e-05,0.0004975583452697374,0.9041172029031297,27683
Dea(基准),-0.0006514107980668727,0.0004403651481399691,0.13908671086660207,27683
