分组,核心变量,系数,标准误,p值,N,R²组内
H1_东部,Dea,-0.00035753727677254965,0.00045546260848892435,0.4324658380520643,20054,-0.025477511066746672
H1_中部,Dea,-0.0018967984427497228,0.0011486414421615493,0.09874692466501322,4807,-0.04884528489458462
H1_西部,Dea,-0.0005547768312118239,0.0020917493930580457,0.7908619478736918,2819,-0.02595705806774884
H2_民营,Dea,-0.0008792616777377351,0.0005771461574967476,0.12766286128720727,19016,-0.036306248936899266
H2_国有,Dea,2.2021031651407157e-05,0.0008467886299008082,0.979253782957928,8665,-0.02408960988744724
H3_高竞争(低HHI),Dea,-0.0012174339817273712,0.0008459432599483563,0.15013852047892806,13693,-0.014311459986993347
H3_低竞争(高HHI),Dea,9.50540713446912e-05,0.0006482167073890693,0.8834193403853923,13672,-0.03843415622461577
H4_非高科技,Dea,0.0006487694190064037,0.0008402912167757569,0.4400906139709142,10064,-0.02667355729713239
H4_高科技,Dea,-0.0013880435558197538,0.000671962875379339,0.038878675188878775,17619,-0.02765134675149228
