机制,核心变量,调节变量,主效应系数,主效应p值,调节变量系数,调节变量p值,交互项系数,交互项标准误,交互项p值,N,Step1_Dea_Res,Step1_p,Step2_Dea_M,Step2_p,Step3_Dea_Res_given_M,Step3_p_Dea,Step3_M_Res_given_Dea,Step3_p_M
IC,Dea,lnIC,-0.0006406200130076678,0.15915122992203923,0.0014057779548732445,0.002578450553516909,-0.00037196429589572775,0.00026642029861083627,0.1626811645442845,27182,,,,,,,,
IC,Breadth,lnIC,-0.000866937974346966,0.1201431376299642,0.0014655645818465674,0.0016961668128161467,-0.00042219426433418966,0.0003750725687835041,0.2603325522615323,27182,,,,,,,,
IC,Depth,lnIC,-0.00027435063750356136,0.5556949384947867,0.0014579205244040945,0.0015152167874885603,-0.00030731550540434935,0.00027820496891677607,0.26932860300523753,27182,,,,,,,,
IC_BK,Dea,lnIC,,,,,,,,27182,-0.000600088096570445,0.18537047913399385,0.023763720146333225,0.05368504949588582,-0.0006390115156783589,0.15815831026102645,0.0016379345855037863,8.716869013358775e-05
Cost,Dea,cost,-0.0006784276780880237,0.1280314535357494,0.05901355837104505,1.2828750661775246e-07,-0.0011673300528771905,0.006098782706257142,0.8482109375956832,27683,,,,,,,,
Cost,Breadth,cost,-0.0009443174728647323,0.08361943687240636,0.05959101713045306,2.495942046376598e-07,-0.0018826971101415155,0.006710676849622896,0.7790561644905822,27683,,,,,,,,
Cost,Depth,cost,-0.00030101641846630895,0.5153590241063339,0.059823651231763024,5.280526904627436e-08,0.0013134063496182068,0.005115790111487781,0.7973850308226273,27683,,,,,,,,
Cost_BK,Dea,cost,,,,,,,,27683,-0.0006514107980668727,0.13908671086660207,0.0004830146488142104,0.2965346275938985,-0.0006800958734886485,0.12674712916542696,0.059387588952419815,2.703795793923547e-07
