Panel,变量,一次项系数,一次项标准误,一次项p,二次项系数,二次项标准误,二次项p,Q1系数,Q1标准误,Q1_p,Q4系数,Q4标准误,Q4_p,N
A_倒U型,Dea,0.0009764808265859656,0.0008333687821207132,0.2413186697426366,-0.00042741928922636373,0.00019571818017500257,0.02898321320171271,-0.00044128597375542506,0.0019173998064058188,0.8179859117583765,-0.0035257874549012125,0.0016997786234647567,0.03811041059891007,27683
A_倒U型,Breadth,0.000991123973258988,0.0008405810250388114,0.23837288959688885,-0.000699063017553277,0.00026722018334236823,0.008900961033283306,6.514557306649472e-05,0.0011494994296928672,0.954806633538055,-0.00277194590668391,0.0018684136784005,0.13799356174005317,27683
A_倒U型,Depth,0.001454024486805001,0.000894351985324619,0.10400889636942856,-0.0005114699004111937,0.0002117530501327934,0.015725303761445986,0.0008927133729035238,0.0019017881002861572,0.6387959643335339,-0.002734491099122683,0.001469041007081498,0.0627512080245316,27683
C_HorseRace,仅Dea,-0.0006514107980668727,,0.13908671086660207,,,,,,,,,,27683
C_HorseRace,仅AI_freq,,,,-0.0001231123314807098,,0.8281889191739409,,,,,,,27683
C_HorseRace,Dea+AI_freq,-0.0007086881422626078,,0.113643427373465,0.0001570254394559311,,0.789287778041794,,,,,,,27683
C_HorseRace,"corr(Dea,AI_freq)",0.7222463339352615,,,,,,,,,,,,27683
