检验,Dea系数,标准误,p值,N
基准回归,-0.0007,(0.0004),0.1391,27683
存货×Dea交互,+0.0028,(0.0030),0.3536,27683
数字化转型×Dea交互,-0.0338***,(0.0099),0.0006,27391
倒U型(二次项),-0.0004**,(0.0002),0.0290,27683
