模型,Dea系数,Dea标准误,Dea_p值,N,R2_within
(1) 无控制,-0.0012947955613929983,0.00045334731006212994,0.004292900966360813,27683,4.644414388554896e-05
(2) +公司特征,-0.0005065610027966198,0.0004460814168398437,0.25614425160953824,27683,-0.030308120138632377
(3) +治理结构,-0.0005049043981878086,0.00044673032099616606,0.2583944278160366,27683,-0.029804976304986353
(4) +研发投入,-0.0004954152038313782,0.000447630889643305,0.26841379554164835,27683,-0.03026317516011856
(5) 全部控制,-0.0006514107980668727,0.0004403651481399691,0.13908671086660207,27683,-0.031757079932958954
