	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	res	res	res	res	res	res	res	res	res	res	res	res
												
F	3.990	9.775	4.870	2.633	9.989	4.439	2.361	2.157	2.153	2.044	2.124	2.441
rmse	0.0304	0.0307	0.0306	0.0308	0.0311	0.0309	0.0359	0.0359	0.0358	0.0359	0.0359	0.0357
mss	0.508	0.507	0.507	0.506	0.504	0.505	1.325	1.324	1.326	1.325	1.324	1.328
rss	0.0732	0.0743	0.0739	0.0752	0.0764	0.0755	0.424	0.425	0.423	0.423	0.424	0.420
tss_within	0.0884	0.0884	0.0884	0.0884	0.0884	0.0884	0.450	0.450	0.450	0.450	0.450	0.450
tss	0.581	0.581	0.581	0.581	0.581	0.581	1.748	1.748	1.748	1.748	1.748	1.748
df_m	12	12	12	12	12	12	12	12	12	12	12	12
df_r	23	23	23	23	23	23	67	67	67	67	67	67
rank	12	12	12	12	12	12	12	12	12	12	12	12
N_full	221	221	221	221	221	221	627	627	627	627	627	627
num_singletons	67	67	67	67	67	67	138	138	138	138	138	138
drop_singletons	1	1	1	1	1	1	1	1	1	1	1	1
df_a_nested	52	52	52	52	52	52	0	0	0	0	0	0
df_a_redundant	53	53	53	53	53	53	1	1	1	1	1	1
df_a_initial	64	64	64	64	64	64	149	149	149	149	149	149
df_a	11	11	11	11	11	11	148	148	148	148	148	148
N_hdfe_extended	2	2	2	2	2	2	2	2	2	2	2	2
N_hdfe	2	2	2	2	2	2	2	2	2	2	2	2
N_clust1	24	24	24	24	24	24	68	68	68	68	68	68
N_clustervars	1	1	1	1	1	1	1	1	1	1	1	1
N_clust	24	24	24	24	24	24	68	68	68	68	68	68
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
