	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	res	res	res	res	res	res	res	res	res	res	res	res
												
rank	10	10	10	10	10	10	10	10	10	10	10	10
N_full	4945	4945	4945	4153	4153	4153	15639	15639	15639	13577	13577	13577
num_singletons	451	451	451	315	315	315	351	351	351	173	173	173
drop_singletons	1	1	1	1	1	1	1	1	1	1	1	1
df_a_nested	0	0	0	0	0	0	0	0	0	0	0	0
df_a_redundant	1	1	1	1	1	1	1	1	1	1	1	1
df_a_initial	1028	1028	1028	822	822	822	2558	2558	2558	2004	2004	2004
df_a	1027	1027	1027	821	821	821	2557	2557	2557	2003	2003	2003
N_hdfe_extended	2	2	2	2	2	2	2	2	2	2	2	2
N_hdfe	2	2	2	2	2	2	2	2	2	2	2	2
N_clust1	279	279	279	243	243	243	416	416	416	355	355	355
N_clustervars	1	1	1	1	1	1	1	1	1	1	1	1
N_clust	279	279	279	243	243	243	416	416	416	355	355	355
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
